Movie_name,Comment_Rating,Movie_name,Genre 1,Genre 2,Genre 3,Genre 4
Riddick ,8.220588235294118,Riddick ,children,action,family,classic
Rio ,7.437106918238993,Rio ,action,classic,sci-fi,family
Rise of the Guardians ,5.314606741573034,Rise of the Guardians ,action,classic,romantic,adventure
Rise of the Planet of the Apes ,6.755244755244755,Rise of the Planet of the Apes ,action,comedy,classic,family
Robin Hood ,6.663636363636364,Robin Hood ,comedy,children,action,family
RocknRolla ,6.337016574585635,RocknRolla ,action,thrillers,classic,comedy
Role Models ,5.615803814713897,Role Models ,action,adventure,thrillers,children
Safe House ,5.347305389221557,Safe House ,action,family,classic,romantic
Salt ,8.19208211143695,Salt ,action,horror,family,classic
Savages ,8.426016260162601,Savages ,classic,action,family,children
Saving Private Ryan ,3.5891472868217056,Saving Private Ryan ,comedy,horror,children,action
Scarface ,5.553911205073995,Scarface ,horror,comedy,classic,family
Scary Movie ,8.347962382445141,Scary Movie ,action,horror,classic,thrillers
Scary Movie 5 ,6.543046357615894,Scary Movie 5 ,horror,classic,comedy,action
Scream 4 ,8.76231527093596,Scream 4 ,anime,children,family,adventure
Se7en ,6.244791666666667,Se7en ,comedy,action,classic,thrillers
Sen to Chihiro no kamikakushi ,6.15625,Sen to Chihiro no kamikakushi ,action,family,children,classic
Seven Psychopaths ,8.061068702290076,Seven Psychopaths ,comedy,horror,classic,action
Shame ,6.661849710982659,Shame ,action,adventure,classic,comedy
Shaun of the Dead ,7.383863080684597,Shaun of the Dead ,horror,children,thrillers,action
Sherlock Holmes ,6.779411764705882,Sherlock Holmes ,action,thrillers,horror,family
Shutter Island ,6.342281879194631,Shutter Island ,horror,family,children,action
Side Effects ,7.50563063063063,Side Effects ,action,classic,children,family
Sin Cit,8.315261044176706,Sin Cit,comedy,action,classic,romantic
Sinister ,6.058704453441296,Sinister ,action,classic,adventure,family
Skyfall ,7.011627906976744,Skyfall ,action,family,children,comedy
Snatch ,5.537337662337662,Snatch ,action,sci-fi,children,horror
Snitch ,5.431034482758621,Snitch ,action,classic,romantic,adventure
Snow White and the Huntsman ,7.766269477543538,Snow White and the Huntsman ,action,classic,family,adventure
Snowpiercer ,7.123287671232877,Snowpiercer ,sci-fi,action,classic,thrillers
Source Code ,3.936430317848411,Source Code ,action,comedy,children,classic
Spider-Man ,9.077306733167083,Spider-Man ,adventure,classic,family,children
Spring Breakers ,6.376470588235295,Spring Breakers ,comedy,action,classic,adventure
Stand Up Guys ,6.451742627345845,Stand Up Guys ,action,sci-fi,adventure,classic
Stand by Me ,6.636270491803279,Stand by Me ,action,sci-fi,classic,adventure
Star Trek ,8.686609686609687,Star Trek ,classic,action,sci-fi,adventure
Star Trek Into Darkness ,6.886524822695035,Star Trek Into Darkness ,children,family,comedy,action
Star Wars ,6.345291479820628,Star Wars ,comedy,children,family,classic
Step Brothers ,4.741379310344827,Step Brothers ,action,comedy,family,classic
Stepmom ,6.020833333333333,Stepmom ,family,horror,action,classic
Stoker ,5.984265734265734,Stoker ,action,anime,classic,adventure
Stolen ,8.565217391304348,Stolen ,comedy,classic,adventure,action
Sucker Punc,6.39288206559665,Sucker Punc,action,classic,family,adventure
Superbad ,3.5,Superbad ,action,family,adventure,anime
Superman Return,7.230434782608696,Superman Return,action,family,thrillers,children
Taken ,5.781094527363184,Taken ,comedy,family,action,children
Taken 2 ,8.221556886227544,Taken 2 ,classic,action,romantic,family
Taxi Driver ,5.508250825082508,Taxi Driver ,action,children,comedy,family
Ted ,5.638036809815951,Ted ,action,sci-fi,classic,horror
Teenage Mutant Ninja Turtles ,5.584795321637427,Teenage Mutant Ninja Turtles ,comedy,family,classic,action
Terminator Salvation ,6.642949547218628,Terminator Salvation ,action,family,classic,horror
That s My Boy ,7.214285714285714,That s My Boy ,action,comedy,adventure,classic
The A-Team ,6.313358302122347,The A-Team ,action,family,romantic,classic
The Amazing Spider-Man ,6.63855421686747,The Amazing Spider-Man ,horror,action,classic,children
The Amazing Spider-Man 2 ,7.707779886148008,The Amazing Spider-Man 2 ,action,comedy,adventure,classic
The Avenger,7.409356725146199,The Avenger,comedy,adventure,action,family
The Awakening ,8.125714285714286,The Awakening ,comedy,classic,action,adventure
The Best Exotic Marigold Hotel ,4.063291139240507,The Best Exotic Marigold Hotel ,comedy,family,romantic,action
The Big Lebowski ,4.807339449541284,The Big Lebowski ,action,family,comedy,adventure
The Big Wedding ,6.15268817204301,The Big Wedding ,action,sci-fi,classic,horror
The Bling Ring ,7.590822179732314,The Bling Ring ,action,comedy,classic,family
The Book of Eli ,5.93312101910828,The Book of Eli ,action,adventure,thrillers,sci-fi
The Boondock Saints ,7.213552361396304,The Boondock Saints ,action,adventure,thrillers,classic
The Bourne Legacy ,8.163090128755364,The Bourne Legacy ,classic,comedy,action,family
The Bourne Ultimatu,5.229268292682927,The Bourne Ultimatu,horror,comedy,classic,action
The Breakfast Club ,6.376106194690266,The Breakfast Club ,action,horror,thrillers,family
The Cabin in the Wood,5.65,The Cabin in the Wood,comedy,family,children,action
The Call ,5.98876404494382,The Call ,comedy,children,family,romantic
The Campaign ,3.9473684210526314,The Campaign ,action,horror,children,sci-fi
The Change-Up ,6.375,The Change-Up ,horror,action,thrillers,adventure
The Cloth ,5.906666666666666,The Cloth ,action,children,family,thrillers
The Collection ,7.6050955414012735,The Collection ,family,adventure,action,children
The Company You Keep ,8.875757575757575,The Company You Keep ,action,classic,horror,romantic
The Croods ,8.743573401317187,The Croods ,action,classic,family,children
The Crow ,5.597014925373134,The Crow ,action,classic,adventure,children
The Dark Knigh,7.26962457337884,The Dark Knigh,action,classic,family,comedy
The Dark Knight Rises ,6.86328125,The Dark Knight Rises ,family,comedy,action,children
The Departed ,5.787330316742081,The Departed ,comedy,action,family,romantic
The Descendants ,6.630434782608695,The Descendants ,horror,classic,comedy,action
The Dictator ,6.430555555555555,The Dictator ,action,classic,comedy,adventure
The Evil Dead ,5.9336492890995265,The Evil Dead ,action,classic,family,comedy
The Expendables ,6.93734335839599,The Expendables ,family,action,classic,thrillers
The Expendables 2 ,5.969072164948454,The Expendables 2 ,action,classic,comedy,adventure
